sample_id	host	specimen_type	collection_date	state	country	latitude	longitude
28-06-2025_barcode09	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode16	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode10	CAGO	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode17	CAGO	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode11	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode18	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode12	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode19	BLVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode13	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode20	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode14	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode21	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode15	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
28-06-2025_barcode22	TUVU	Dry (Oral+Cloacal)	2025-04-15	Kentucky	USA		
12-11-2025_barcode03	BLVU	Dry (Oral+Cloacal)	2025-10-20	Kentucky	USA		
12-11-2025_barcode04	BLVU	Dry (Oral+Cloacal)	2025-10-20	Kentucky	USA		
12-11-2025_barcode05	BLVU	Dry (Oral+Cloacal)	2025-10-21	Kentucky	USA		
12-11-2025_barcode06	BLVU	Dry (Oral+Cloacal)	2025-10-21	Kentucky	USA		
12-11-2025_barcode07	BLVU	Dry (Oral+Cloacal)	2025-10-21	Kentucky	USA		
12-11-2025_barcode08	BLVU	Dry (Oral+Cloacal)	2025-10-21	Kentucky	USA		
12-11-2025_barcode11	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49868	-84.58213
12-11-2025_barcode12	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49868	-84.58213
12-11-2025_barcode13	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49935	-84.5811
12-11-2025_barcode14	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49935	-84.5811
12-11-2025_barcode15	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49868	-84.58213
12-11-2025_barcode16	BLVU	Dry (Oral+Cloacal)	2025-10-27	Kentucky	USA	38.49868	-84.58213
23-12-2025_barcode15	SNGO	Dry (Oral+Cloacal)	2025-12-11	Kentucky	USA	37.33237	-85.56343
23-12-2025_barcode16	SNGO	Dry (Oral+Cloacal)	2025-12-11	Kentucky	USA	37.33237	-85.56343
21-07-2026_barcode13	RTHA	Dry (Oral+Cloacal)	2026-04-08	Kentucky	USA	38.069739	-84.746138
21-07-2026_barcode14	RTHA	Dry (Oral+Cloacal)	2026-04-08	Kentucky	USA	38.069739	-84.746138
